product_description,product_brand_id,product_image,product_name,product_id,product_category_id
"Bàn phím Smart Keyboard thiết kế nhỏ gọn, kết nối nhanh chóng, Tích hợp nhiều phím tắt, hành trình phím vừa đủ, độ nảy cao, Kết nối thông qua Smart Connector, không cần sử dụng Bluetooth hay cổng Lightning, Bàn phím Apple được thiết kế để sử dụng với iPad, cung cấp trải nghiệm gõ phím tốt hơn, Bàn phím có thể gập lại để tạo thành chân đỡ cho iPad tiện lợi khi gõ phím, Tương thích với iPad Pro 11 inch (thế hệ thứ 1 đến thứ 4), iPad Air (thế hệ thứ 4 và thứ 5), Được làm từ chất liệu polyurethane nhẹ và bền cho thời gian sử dụng lâu hơn, Tính năng tự động kích hoạt hoặc tắt màn hình khi mở hoặc đóng bàn phím",35,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/911/10056143-phu-kien-apple-kb-folio-11-mxn2za-1_h0i3-do.jpg,Bàn phím Smart Keyboard iPad Pro 11 MXNK2ZA/A,11,35
"Bàn phím cơ học không dây với các phím Emoji có thể tùy chỉnh, Thiết kế nhỏ gọn, cho phép tiết kiệm không gian làm việc của bạn, Trải nghiệm gõ trên các phím cơ kiểu máy đánh chữ vui nhộn, Tích hợp các phím Emoji độc đáo và 12 phím tắt Fn tiện dụng, Kết nối tới 3 thiết bị và chuyển đổi việc gõ chỉ bằng 1 lần chạm, Độ bền cao cùng thời lượng pin bền bỉ lên tới 36 tháng",30,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/866/10055220-ban-phim-co-khong-day-logitech-pop-keys-tim-1.jpg,Bàn phím cơ không dây Logitech POP Keys Tím (920-011227),12,30
"Băng đô có thể thu vào thích ứng với các loại đầu khác nhau, Tai nghe có lớp đệm êm ái, không gây đau tai khi dùng lâu, Có micro dạ quang, có thể xoay 120 độ, đàm thoại rõ ràng, Loa âm thanh nổi 50mm với khoang công nghệ độ trung thực cao, Đèn LED được cấp nguồn bằng phích cắm USB, sẽ sáng ngay lập tức",49,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/968/Tai_nghe_có_dây_Microlab_G61.jpg,Tai nghe có dây Microlab G6,13,49
"Bộ 3 camera sau 50MP-12MP-8MP chụp ảnh đẹp chuyên nghiệp, Nâng cấp với hàng loạt tính năng AI thông minh, nâng tầm trải nghiệm, Viên pin lớn tới 4700mAh bền bỉ, làm việc và giải trí suốt ngày dài, Chuẩn kháng nước IP68, trải nghiệm bất chấp thời tiết nắng mưa thất thường, Mở khóa, thanh toán trực tuyến nhanh & với vân tay và nhận diện khuôn mặt, Màn hình Dynamic AMOLED 2X độ phân giải Full HD+ hiển thị sống động như thực, Camera trước 10MP giúp sáng tạo ảnh chân dung đẹp tự nhiên, sắc nét, Hỗ trợ kết nối 5G tiên tiến, truyền tải và chia sẻ dữ liệu nhanh thần tốc, Samsung Galaxy S24 FE trọn bộ màu sắc độc đáo, diện mạo sang trọng và đẳng cấp",8,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1116/Samsung_Galaxy_S24_FE_8GB128GB_Xanh_lá1.jpg,Điện thoại Samsung Galaxy S24 FE 8GB/128GB,14,8
"Bộ bàn phím và chuột MK235 kết nối không dây tiện lợi, Bàn phím được thiết kế đơn giản, phím bấm với độ nổi thấp, Các phím uốn lượn giúp trải nghiệm gõ được thoải mái, Chuột có cấu trúc chắc chắn, ôm trọn vào lòng bàn tay, MK235\xa0hoạt động ngay khi bạn cắm đầu thu vào cổng USB, Tuổi thọ pin bàn phím lên đến 36 tháng và chuột 12 tháng",30,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/865/10050677-bo-ban-phim-chuot-logitech-mk235-xam-1.jpg,Bộ Bàn phím và Chuột không dây Logitech MK235 Xám (920-007937),15,30
"Bộ bàn phím và chuột không dây MK470 thiết kế mỏng nhẹ, tối giản, Chuột được thiết kế vừa vặn tay, khả năng giảm tiếng ồn lên đến 90%, Bàn phím được thiết kế với độ dốc nhất định, tư thế đặt tay gõ thoải mái, Trải nghiệm gõ mượt mà nhờ không gian phím rộng, hành trình phím sâu, Trang bị kết nối\xa0USB Logitech Nano Receiver không dây vô cùng tiện dụng, Thời lượng pin ấn tượng với chuột 18 tháng và 36 tháng đối với bàn phím",30,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/861/10049714-bo-ban-phim-chuot-khong-day-logitech-mk470-den-920-009182-1.jpg,Bộ bàn phím chuột không dây Logitech MK470 Đen (920-009182),16,30
"Bộ xử lý Intel Core i5 Gen 12 hiệu năng mạnh mẽ, chạy tác vụ mượt, Card rời NVIDIA Geforce RTX 2050 4GB kết xuất đồ họa đẹp thu hút, Màn hình lớn 16 inch LED IPS, gam màu 45% NTSC hiển thị sống động, Tốc độ làm mới tối đa lên đến 144Hz cho chuyển động khung hình mượt, Bộ nhớ RAM cao tới 16GB đa nhiệm, mở mượt nhiều ứng dụng cùng lúc, Ổ cứng dòng SSD 512GB truy xuất dữ liệu nhanh, tha hồ lưu trữ, Pin 50WHrs 3S1P 3-cell Li-ion cho thời lượng sử dụng bền bỉ, Laptop mỏng nhẹ nhưng vẫn đạt chuẩn độ bền quân đội Mỹ MIL-STD-810H",18,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1020/10058554-Asus_Gaming_Vivobook_16X_i5-12500H__K3605ZF-RP634W_1.jpg,Laptop Asus Gaming Vivobook 16X i5-12500H/16GB/512GB/Win11 (K3605ZF-RP634W),17,18
"Bộ đôi bàn phím chuột Logitech không dây, sở hữu thiết kế thanh lịch, Công nghệ SilentTouch độc quyền giúp loại bỏ trên 90% tiếng ồn, Bàn phím có kích thước đầy đủ giúp nhập dữ liệu và thao tác dễ dàng, Đem lại cảm giác gõ quen thuộc với các phím sâu và phản hồi nhanh, Chuột Logitech có hình dáng nhỏ gọn, thao tác mượt trên mọi bề mặt, Kết nối không dây 2.4 GHz mạnh mẽ, không bị trễ hay mất kết nối, Thiết kế chống đổ tràn và các ký tực bàn phím bằng mực in bền bỉ, Pin bền lâu với tuổi thọ pin chuột là 18 tháng,\xa0pin bàn phím 36 tháng",30,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/812/10049715-bo-ban-phim-chuot-khong-day-logitech-mk295-den-1.jpg,Bộ bàn phím chuột không dây Logitech MK295 Đen (920-009814),18,30
"CPU Apple M2 hiệu năng mạnh mẽ, xử lý mượt mọi tác vụ từ nhẹ đến nặng, Card đồ họa tích hợp 10 nhân GPU xử lý đồ họa tốt, hình ảnh đẹp mãn nhãn, RAM 8GB đa nhiệm, mở nhiều tab làm việc cùng lúc mà không bị giật, lag, Ổ cứng SSD 256GB khởi động máy nhanh, không gian lưu trữ dữ liệu lớn, Màn hình Liquid Retina 15.3” độ sáng tới 500nits hiển thị hình ảnh sắc nét, Camera FaceTime HD 1080p cho cuộc gọi video với chất lượng hình ảnh cao, Thời lượng pin vượt trội cho phép sử dụng liên tục tối đa lên đến 18 tiếng, Trang bị Touch ID thay thế thao tác nhập mật khẩu chỉ bằng một cú chạm, Bàn phím có đèn nền, làm việc tốt hơn trong môi trường thiếu sáng",19,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1119/laptop-macbook-air-m2-2023-8gb-256gb-10-core-gpu-mqkp3sa-a-xam-1.jpg,Laptop Macbook Air M2 2023 8GB/256GB/10 Core GPU MQKP3SA/A Xám,19,19
"CPU Apple M2 hiệu năng mạnh mẽ, xử lý mượt mọi tác vụ từ nhẹ đến nặng, Card đồ họa tích hợp 10 nhân GPU xử lý đồ họa tốt, hình ảnh đẹp mãn nhãn, RAM 8GB đa nhiệm, mở nhiều tab làm việc cùng lúc mà không bị giật, lag, Ổ cứng SSD 256GB khởi động máy nhanh, không gian lưu trữ dữ liệu lớn, Màn hình Liquid Retina 15.3” độ sáng tới 500nits hiển thị hình ảnh sắc nét, Camera FaceTime HD 1080p cho cuộc gọi video với chất lượng hình ảnh cao, Thời lượng pin vượt trội cho phép xem video liên tục 18 giờ, lướt web 15 giờ, Trang bị Touch ID thay thế thao tác nhập mật khẩu chỉ bằng một cú chạm, Bàn phím có đèn nền, làm việc tốt hơn trong môi trường thiếu sáng",19,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1119/laptop-macbook-air-m2-2023-8gb-256gb-10-core-gpu-mqkw3sa-a-den-1.jpg,Laptop Macbook Air M2 2023 8GB/256GB/10 Core GPU MQK,20,19
"CPU Apple M2 hiệu năng mạnh mẽ, xử lý mượt mọi tác vụ từ nhẹ đến nặng, Card đồ họa tích hợp 10 nhân GPU xử lý đồ họa tốt, hình ảnh đẹp mãn nhãn, RAM 8GB đa nhiệm, mở nhiều tab làm việc cùng lúc mà không bị giật, lag, Ổ cứng SSD\xa0512GB khởi động máy nhanh, không gian lưu trữ dữ liệu lớn, Màn hình Liquid Retina 15.3” độ sáng tới 500nits hiển thị hình ảnh sắc nét, Camera FaceTime HD 1080p cho cuộc gọi video với chất lượng hình ảnh cao, Thời lượng pin vượt trội cho phép xem video liên tục 18 giờ, lướt web 15 giờ, Trang bị Touch ID thay thế thao tác nhập mật khẩu chỉ bằng một cú chạm, Bàn phím có đèn nền, làm việc tốt hơn trong môi trường thiếu sáng",19,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1119/10055828-laptop-macbook-air-m2-2023-8gb-512gb-10-core-gpu-mqkv3sa-a-vang-1.jpg,Laptop Macbook Air M2 2023 8GB/512GB/10 Core GPU MQK,21,19
"CPU Apple M2\xa0hiệu năng mạnh mẽ, xử lý mượt mọi tác vụ từ nhẹ đến nặng, Card đồ họa tích hợp\xa08 nhân GPU xử lý đồ họa tốt, hình ảnh đẹp mãn nhãn, RAM lớn tới 16GB đa nhiệm, mở nhiều tab làm việc cùng lúc mà không bị giật, lag, Ổ cứng SSD 256GB\xa0khởi động máy nhanh, không gian lưu trữ dữ liệu lớn, Màn hình Liquid Retina 13,6” độ sáng tới 500nits hiển thị hình ảnh sắc nét, Camera FaceTime HD 1080p cho cuộc gọi video với chất lượng hình ảnh cao, Thời lượng pin vượt trội cho phép xem video liên tục 18 giờ, lướt web 15 giờ, Trang bị\xa0Touch ID\xa0thay thế thao tác nhập mật khẩu chỉ bằng một cú chạm",23,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1129/Laptop_Macbook_Air_M2_8GB256GB8C-GPU__MC7U4SAA_.jpg,Laptop Macbook Air M2 16GB/256GB/8C-GPU (MC7U4SA/A),22,23
"CPU Apple M3\xa0hiệu năng mạnh mẽ, xử lý mượt mọi tác vụ từ nhẹ đến nặng, Neural Engine 16 lõi thực hiện nhanh, chính xác các tác vụ liên quan đến AI, Card đồ họa tích hợp 8 nhân GPU xử lý đồ họa tốt, hình ảnh đẹp mãn nhãn, RAM 8GB đa nhiệm, mở nhiều tab làm việc cùng lúc mà không bị đơ máy, Ổ cứng SSD 256GB khởi động máy nhanh, truy xuất dữ liệu nhanh chóng, Màn hình Liquid Retina True Tone 13.6 inch hiển thị hình ảnh sắc nét, sống động, Magic Keyboard mang đến trải nghiệm gõ văn bảng êm ái, độ chính xác cao, Trang bị Touch ID thay thế thao tác nhập mật khẩu chỉ bằng một cú chạm",19,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1125/10057770-macbook-air-13-inch-m3-2024-1-3.jpg,Laptop Macbook Air M3 8GB/256GB/8 Core GPU MRXV3SA/A Midnight,23,19
"CPU Intel Core i5-13500H hiệu năng mạnh mẽ, ""chiến"" mượt mà các tựa game, Card NVIDIA GeForce RTX 4050 Laptop 6GB kết xuất đồ họa chân thực và đẹp mắt, RAM lớn tới 16GB DDR4 đa nhiệm tốt, xử lý mượt khi mở nhiều tab làm việc, Ổ cứng 512GB SSD cho không gian lưu trữ rộng lớn, khởi động máy nhanh, Màn hình IPS FHD 15.6 inch không gian hiển thị rộng rãi, màu sắc sống động, Trang bị đa dạng các loại cổng kết nối thông dụng: HDMI, LAN, SD card,..., Laptop HP Victus thiết kế\xa0chuẩn Gaming, diện mạo cá tính và thẩm mỹ",16,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1119/10057249-HP_Victus_Gaming_15-FA1088TX_i5-13500H__8C5M5PA_-1_e680-fp.jpg,Laptop HP Victus Gaming 15-FA1088TX i5-13500H/16GB/512GB/Win11 (8C5M5PA),24,16
"CPU Intel Core i7 thế hệ 13 hiệu năng mạnh mẽ, chạy mượt cả tác vụ nặng, Ổ cứng SSD ""khủng"" tới 1TB khởi động máy nhanh, tha hồ lưu trữ dữ liệu, RAM 16GB chuẩn dòng DDR4 giúp chạy mượt nhiều Tab, không giật, lag, Màn hình lớn tới 15.6 inch, độ phân giải Full HD hiển thị hình ảnh rõ nét, Bảo mật vân tay giúp mở máy nhanh chóng 1 chạm để làm việc ngay, Bộ xử lý đồ họa Intel Iris Xe Graphics xử lý tốt tác vụ liên quan đến đồ họa, Công nghệ\xa0Wi-Fi6 tốc độ cao, truy cập và tải xuống các dữ liệu nhanh chóng, Viên pin 4-Cell, 54WHr bền bỉ, sử dụng liền mạch khi học tập và làm việc, Laptop Dell\xa0Inspiron\xa015 đầy đủ các cổng kết nối, dễ dàng truyền nhận dữ liệu",17,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/1116/Dell_Inspiron_15_3530_i71.jpg,Dell Inspiron 15 3530 i7-1355U/16GB/1TB/Win11 P112F010 (N3530-I7U161W11BLU-FP),25,17
"CPU Intel core i5 - 8400, RAM 4GB DDR4, Ổ cứng HDD 1TB, Intel UHD Graphics 630",27,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/595/10042319_MTDB_HP_280-G4-541-TBDF-4LW11PA_01.jpg,MÁY TÍNH ĐỂ BÀN HP 280 G4 MICROTOWER (4LW1),26,27
"CPU Intel core i5 - 8500, RAM 4GB, Ổ cứng 1TB, Đồ họa AMD Radeon R7 430 2GB, Hệ điều hành Free DOS",27,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/545/10037964_MTDB_HP_PRODESK-400-G5-MT-4ST34PA_01.jpg,MÁY TÍNH ĐỂ BÀN HP PRODESK 400 G5 MT (4ST34PA),27,27
"CPU: Intel Core i3 8100, RAM: 4GB, Ổ cứng: HDD 1TB, Ổ đĩa quang: DVDRW",28,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/528/10036966_MAYTINHDEBAN_DELL_VOSTRO-3670-70157885_01.jpg,Máy tính để bàn Dell Vostro 3670 (70157885),28,28
"CPU: Intel Core i5-8400, RAM: 8 GB, Ổ cứng: 1TB HDD, Hệ điều hành: Fedora",28,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/602/10041980_MTDB_DELL_OPTIPLEX-5060-I5-8-1T-70162089_01.jpg,MÁY TÍNH ĐỂ BÀN DELL OPTIPLEX 5060 TOWER (70162089),29,28
"CPU: Intel Pentium G5400, RAM: 4GB, Ổ cứng: HDD 1TB, Ổ đĩa quang: DVDRW",28,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/528/10036969_MAYTINHDEBAN_DELL_VOSTRO-3670MT-G5400_01.jpg,MÁY TÍNH ĐỂ BÀN DELL VOSTRO 3670MT (MTG5400),30,28
"CPU\xa0Intel Core i5 9400\xa0xử lý các ứng dụng mượt mà, RAM 8GB hỗ trợ tốt ứng dụng văn phòng, giải trí, Ổ cứng HDD 1TB lưu trữ dữ liệu lâu dài, bền bỉ, Kèm chuột & bàn phím, hỗ trợ tối đa cho người dùng, Phần khe hở ở bên hông tăng khả năng thoát nhiệt của máy, Trang bị nhiều cổng kết nối với thiết bị ngoại vi khác nhau, Thiết kế tinh tế cùng sắc đen hiện đại, nâng tầm phong cách",28,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/608/10042869_MTDB_DELL_INSP-3670-I3-MTI39207-8G-1T_01.jpg,Máy tính để bàn Dell Inspiron 3670,31,28
"CPU\xa0Intel Core i5 9400\xa0xử lý các ứng dụng nhanh chóng, RAM 4GB cho phép lưu trữ số lượng lớn dữ liệu, Card Intel UHD Graphics 630 đáp ứng nhu cầu giải trí, Ổ cứng HDD 1TB lưu trữ dữ liệu lâu dài, bền bỉ, Đa dạng cổng kết nối với thiết bị ngoại vi khác nhau, Thiết kế tinh tế với hoa văn nổi bật, nâng tầm phong cách, Kiểu dáng hiện đại, không chiếm quá nhiều diện tích",28,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/618/10043367_MTDB_DELL_VOST-3470-I5-9400-4-1-70191826_01.jpg,Máy tính để bàn Dell Vostro 3470 (70191826),32,28
"Chipset Snapdragon 855 Plus chạy mượt mà với ứng dụng nặng, Cụm camera kép chụp ảnh ban đêm ấn tượng, hỗ trợ chống rung, Trang bị dung lượng pin lớn 3300 mAh, hỗ trợ sạc nhanh 15W, Màn hình vô cực Infinity Flex 6.7 inch, thiết kế gập độc đáo, Hỗ trợ HDR10+ trải nghiệm hình ảnh sống động từng chi tiết",8,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/product/736/10044974-dien-thoai-samsung-sm-f700f-ds-256gb-tim-1.jpg,Samsung Galaxy Z Flip Tím,33,8
"Chuột Logitech M650 có ngoại hình tinh tế, phù hợp nơi công sở, Thiết kế uốn cong giúp chuột nằm vừa vặn trong lòng bàn tay, Tính năng giảm ồn khi nhấn đến 90% nhờ công nghệ SilentTouch, Kết nối với các thiết bị qua đầu thu Bluetooth hoặc USB Logi Bolt, Dễ dàng tùy chỉnh các nút bên hông với phần mềm Logitech Options+, Thời gian sử dụng pin lên đến 24 tháng, hoạt động ổn định và dài lâu, Tương thích hệ điều hành Windows, Linux, macOS, Android, iPadOS",40,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/812/10051890-chuot-khong-day-logitech-signature-m650-den-1.jpg,Chuột không dây Logitech Signature M650 Đen (910-006262),34,40
"Chuột Logitech được thiết kế với tông màu đen sang trọng, hiện đại, Hình dáng tự nhiên mượt mà, cho cảm giác vừa vặn trong lòng bàn tay, Với tính năng silent, tận hưởng trải nghiệm bấm và cuộn chuột êm ái, Chuột không dây Logitech giúp bạn làm việc yên tĩnh tại bất kỳ đâu, Kết nối không dây tiện ích thông qua Bluetooth hoặc đầu thu USB tí hon, Tuổi thọ pin lên đến 18 tháng, có thể sử dụng chuột trong thời gian dài, Tương thích với các hệ điều hành như Windows, MacOS, Android, iOS",40,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/811/10052456-chuot-logitech-pebble-m350-wireless-bluetooth-den-1.jpg,Chuột Logitech Pebble M350 Wireless/Bluetooth Đen (910-005602),35,40
"Chuột M190 có thiết kế đường viền thoải mái, màu sắc mạnh mẽ cá tính, Được sản xuất bởi Logitech - hãng dẫn đầu thế giới về chuột và bàn phím, Tích hợp cảm biến quang học hiện đại, thao tác mượt mà trên mọi chất liệu, Kết nối không dây với thiết bị bằng Wireless thuận tiện, độ chính xác cao, Khoảng cách kết nối lên đến 10m, tiện lợi khi thuyết trình, thảo luận nhóm, Tự kích hoạt chế độ tiết kiệm năng lượng khi bạn đang không sử dụng chuột, Tận hưởng thời gian sử dụng pin dài lên đến 18 tháng mà không cần lo lắng",40,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/812/10049676-chuot-khong-day-logitech-m190-do-1.jpg,Chuột không dây Logitech M190 Đỏ (910-005915),36,40
"Chuột POP sở hữu thiết kế trẻ trung, màu sắc cuốn hút, Trang bị tính năng Silent mang lại sự yên tĩnh khi làm việc, Bánh lăn SmartWheel cho độ chính xác đến từng pixel, POP Mouse có tính năng tùy chỉnh các Emoji vui nhộn, Sử dụng pin lâu dài, bền bỉ với thời gian lên đến 24 tháng, Công nghệ tự động ngủ giúp tiết kiệm tối đa năng lượng, Cho phép bạn kết nối với 3 thiết bị cùng lúc qua\xa0Bluetooth, Tương thích với Windows 10,11 trở lên và macOS 10,15 trở lên",40,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/812/10051889-chuot-khong-day-logitech-pop-with-emoji-vang-den-1.jpg,Chuột không dây Logitech POP Emoji Vàng Đen (910-006514),37,40
